2026-07-10 12:24:43,846 | INFO | Email loaded: FRiday
2026-07-10 12:24:43,852 | INFO | Attachment found in: email
2026-07-10 12:24:43,852 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:24:43,852 | INFO | Email loaded: email
2026-07-10 12:24:43,861 | INFO | Email loaded: gdhnss
2026-07-10 12:24:43,861 | INFO | Reading latest 5 emails
2026-07-10 12:24:51,241 | INFO | Attachment found in: post 
2026-07-10 12:24:51,241 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:24:51,241 | INFO | Email loaded: post 
2026-07-10 12:24:51,241 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:24:51,273 | INFO | Email loaded: FRiday
2026-07-10 12:24:51,273 | INFO | Attachment found in: email
2026-07-10 12:24:51,273 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:24:51,273 | INFO | Email loaded: email
2026-07-10 12:24:51,273 | INFO | Email loaded: gdhnss
2026-07-10 12:24:51,279 | INFO | Reading latest 5 emails
2026-07-10 12:24:58,648 | INFO | Attachment found in: post 
2026-07-10 12:24:58,680 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:24:58,680 | INFO | Email loaded: post 
2026-07-10 12:24:58,688 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:24:58,745 | INFO | Email loaded: FRiday
2026-07-10 12:24:58,756 | INFO | Attachment found in: email
2026-07-10 12:24:58,772 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:24:58,772 | INFO | Email loaded: email
2026-07-10 12:24:58,776 | INFO | Email loaded: gdhnss
2026-07-10 12:24:58,795 | INFO | Reading latest 5 emails
2026-07-10 12:25:09,870 | INFO | Attachment found in: post 
2026-07-10 12:25:09,870 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:25:09,871 | INFO | Email loaded: post 
2026-07-10 12:25:09,878 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:25:09,949 | INFO | Email loaded: FRiday
2026-07-10 12:25:09,954 | INFO | Attachment found in: email
2026-07-10 12:25:09,955 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:25:09,955 | INFO | Email loaded: email
2026-07-10 12:25:09,955 | INFO | Email loaded: gdhnss
2026-07-10 12:25:09,965 | INFO | Reading latest 5 emails
2026-07-10 12:25:15,514 | INFO | Attachment found in: post 
2026-07-10 12:25:15,514 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:25:15,514 | INFO | Email loaded: post 
2026-07-10 12:25:15,514 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:25:15,553 | INFO | Email loaded: FRiday
2026-07-10 12:25:15,553 | INFO | Attachment found in: email
2026-07-10 12:25:15,553 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:25:15,553 | INFO | Email loaded: email
2026-07-10 12:25:15,559 | INFO | Email loaded: gdhnss
2026-07-10 12:25:15,563 | INFO | Reading latest 5 emails
2026-07-10 12:25:22,936 | INFO | Attachment found in: post 
2026-07-10 12:25:22,936 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:25:22,936 | INFO | Email loaded: post 
2026-07-10 12:25:22,936 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:25:22,971 | INFO | Email loaded: FRiday
2026-07-10 12:25:22,971 | INFO | Attachment found in: email
2026-07-10 12:25:22,971 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:25:22,971 | INFO | Email loaded: email
2026-07-10 12:25:22,971 | INFO | Email loaded: gdhnss
2026-07-10 12:25:22,971 | INFO | Reading latest 5 emails
2026-07-10 12:25:31,626 | INFO | Attachment found in: post 
2026-07-10 12:25:31,626 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:25:31,626 | INFO | Email loaded: post 
2026-07-10 12:25:31,635 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:25:31,715 | INFO | Email loaded: FRiday
2026-07-10 12:25:31,715 | INFO | Attachment found in: email
2026-07-10 12:25:31,715 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:25:31,715 | INFO | Email loaded: email
2026-07-10 12:25:31,715 | INFO | Email loaded: gdhnss
2026-07-10 12:25:31,731 | INFO | Reading latest 5 emails
2026-07-10 12:25:39,494 | INFO | Attachment found in: post 
2026-07-10 12:25:39,516 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:25:39,520 | INFO | Email loaded: post 
2026-07-10 12:25:39,533 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:25:39,652 | INFO | Email loaded: FRiday
2026-07-10 12:25:39,662 | INFO | Attachment found in: email
2026-07-10 12:25:39,662 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:25:39,662 | INFO | Email loaded: email
2026-07-10 12:25:39,669 | INFO | Email loaded: gdhnss
2026-07-10 12:25:39,674 | INFO | Reading latest 5 emails
2026-07-10 12:25:51,792 | INFO | Attachment found in: post 
2026-07-10 12:25:51,792 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:25:51,792 | INFO | Email loaded: post 
2026-07-10 12:25:51,792 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:25:51,853 | INFO | Email loaded: FRiday
2026-07-10 12:25:51,867 | INFO | Attachment found in: email
2026-07-10 12:25:51,869 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:25:51,869 | INFO | Email loaded: email
2026-07-10 12:25:51,869 | INFO | Email loaded: gdhnss
2026-07-10 12:25:51,869 | INFO | Reading latest 5 emails
2026-07-10 12:25:59,565 | INFO | Attachment found in: post 
2026-07-10 12:25:59,565 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:25:59,565 | INFO | Email loaded: post 
2026-07-10 12:25:59,573 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:25:59,633 | INFO | Email loaded: FRiday
2026-07-10 12:25:59,648 | INFO | Attachment found in: email
2026-07-10 12:25:59,648 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:25:59,649 | INFO | Email loaded: email
